nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17,Class,Unnamed: 16
AB,Intensity Max,472.0,472.0,472.0,0.0,472.0,472.0,472.0,472.0,1,,Surface,1.0,,Image 1,,1.0,,,
AB,Intensity Max,413.0,413.0,413.0,0.0,413.0,413.0,413.0,413.0,1,,Surface,1.0,,Image 1,,2.0,,,
AB,Intensity Max,443.0,443.0,443.0,0.0,443.0,443.0,443.0,443.0,1,,Surface,1.0,,Image 1,,3.0,,,
AB,Intensity Max,281.0,281.0,281.0,0.0,281.0,281.0,281.0,281.0,1,,Surface,1.0,,Image 1,,4.0,,,
P1,Intensity Max,311.0,311.0,311.0,0.0,311.0,311.0,311.0,311.0,1,,Surface,1.0,,Image 1,,1.0,,,
P1,Intensity Max,299.0,299.0,299.0,0.0,299.0,299.0,299.0,299.0,1,,Surface,1.0,,Image 1,,2.0,,,
P1,Intensity Max,295.0,295.0,295.0,0.0,295.0,295.0,295.0,295.0,1,,Surface,1.0,,Image 1,,3.0,,,
P1,Intensity Max,288.0,288.0,288.0,0.0,288.0,288.0,288.0,288.0,1,,Surface,1.0,,Image 1,,4.0,,,
P1,Intensity Max,311.0,311.0,311.0,0.0,311.0,311.0,311.0,311.0,1,,Surface,1.0,,Image 1,,5.0,,,
P1,Intensity Max,303.0,303.0,303.0,0.0,303.0,303.0,303.0,303.0,1,,Surface,1.0,,Image 1,,6.0,,,
ABa,Intensity Max,301.0,301.0,301.0,0.0,301.0,301.0,301.0,301.0,1,,Surface,1.0,,Image 1,,8.0,,,
ABa,Intensity Max,285.0,285.0,285.0,0.0,285.0,285.0,285.0,285.0,1,,Surface,1.0,,Image 1,,9.0,,,
ABa,Intensity Max,355.0,355.0,355.0,0.0,355.0,355.0,355.0,355.0,1,,Surface,1.0,,Image 1,,10.0,,,
ABa,Intensity Max,359.0,359.0,359.0,0.0,359.0,359.0,359.0,359.0,1,,Surface,1.0,,Image 1,,11.0,,,
ABa,Intensity Max,426.0,426.0,426.0,0.0,426.0,426.0,426.0,426.0,1,,Surface,1.0,,Image 1,,12.0,,,
ABa,Intensity Max,441.0,441.0,441.0,0.0,441.0,441.0,441.0,441.0,1,,Surface,1.0,,Image 1,,13.0,,,
ABa,Intensity Max,293.0,293.0,293.0,0.0,293.0,293.0,293.0,293.0,1,,Surface,1.0,,Image 1,,14.0,,,
ABa,Intensity Max,269.0,269.0,269.0,0.0,269.0,269.0,269.0,269.0,1,,Surface,1.0,,Image 1,,15.0,,,
ABa,Intensity Max,290.0,290.0,290.0,0.0,290.0,290.0,290.0,290.0,1,,Surface,1.0,,Image 1,,16.0,,,
ABa,Intensity Max,255.0,255.0,255.0,0.0,255.0,255.0,255.0,255.0,1,,Surface,1.0,,Image 1,,17.0,,,
ABp,Intensity Max,261.0,261.0,261.0,0.0,261.0,261.0,261.0,261.0,1,,Surface,1.0,,Image 1,,8.0,,,
ABp,Intensity Max,245.0,245.0,245.0,0.0,245.0,245.0,245.0,245.0,1,,Surface,1.0,,Image 1,,9.0,,,
ABp,Intensity Max,268.0,268.0,268.0,0.0,268.0,268.0,268.0,268.0,1,,Surface,1.0,,Image 1,,10.0,,,
ABp,Intensity Max,253.0,253.0,253.0,0.0,253.0,253.0,253.0,253.0,1,,Surface,1.0,,Image 1,,11.0,,,
ABp,Intensity Max,322.0,322.0,322.0,0.0,322.0,322.0,322.0,322.0,1,,Surface,1.0,,Image 1,,12.0,,,
ABp,Intensity Max,261.0,261.0,261.0,0.0,261.0,261.0,261.0,261.0,1,,Surface,1.0,,Image 1,,13.0,,,
ABp,Intensity Max,295.0,295.0,295.0,0.0,295.0,295.0,295.0,295.0,1,,Surface,1.0,,Image 1,,14.0,,,
ABp,Intensity Max,274.0,274.0,274.0,0.0,274.0,274.0,274.0,274.0,1,,Surface,1.0,,Image 1,,15.0,,,
ABp,Intensity Max,277.0,277.0,277.0,0.0,277.0,277.0,277.0,277.0,1,,Surface,1.0,,Image 1,,16.0,,,
ABp,Intensity Max,274.0,274.0,274.0,0.0,274.0,274.0,274.0,274.0,1,,Surface,1.0,,Image 1,,17.0,,,
EMS,Intensity Max,270.0,270.0,270.0,0.0,270.0,270.0,270.0,270.0,1,,Surface,1.0,,Image 1,,10.0,,,
EMS,Intensity Max,283.0,283.0,283.0,0.0,283.0,283.0,283.0,283.0,1,,Surface,1.0,,Image 1,,11.0,,,
EMS,Intensity Max,297.0,297.0,297.0,0.0,297.0,297.0,297.0,297.0,1,,Surface,1.0,,Image 1,,12.0,,,
EMS,Intensity Max,796.0,796.0,796.0,0.0,796.0,796.0,796.0,796.0,1,,Surface,1.0,,Image 1,,13.0,,,
EMS,Intensity Max,682.0,682.0,682.0,0.0,682.0,682.0,682.0,682.0,1,,Surface,1.0,,Image 1,,14.0,,,
EMS,Intensity Max,1609.0,1609.0,1609.0,0.0,1609.0,1609.0,1609.0,1609.0,1,,Surface,1.0,,Image 1,,15.0,,,
EMS,Intensity Max,1483.0,1483.0,1483.0,0.0,1483.0,1483.0,1483.0,1483.0,1,,Surface,1.0,,Image 1,,16.0,,,
EMS,Intensity Max,917.0,917.0,917.0,0.0,917.0,917.0,917.0,917.0,1,,Surface,1.0,,Image 1,,17.0,,,
EMS,Intensity Max,407.0,407.0,407.0,0.0,407.0,407.0,407.0,407.0,1,,Surface,1.0,,Image 1,,18.0,,,
EMS,Intensity Max,248.0,248.0,248.0,0.0,248.0,248.0,248.0,248.0,1,,Surface,1.0,,Image 1,,19.0,,,
EMS,Intensity Max,315.0,315.0,315.0,0.0,315.0,315.0,315.0,315.0,1,,Surface,1.0,,Image 1,,20.0,,,
