nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17
AB,Intensity Max,234,234,234,0,234,234,234,234,1,,Surface,1,,Image 1,,9,
AB,Intensity Max,307,307,307,0,307,307,307,307,1,,Surface,1,,Image 1,,10,
AB,Intensity Max,297,297,297,0,297,297,297,297,1,,Surface,1,,Image 1,,11,
AB,Intensity Max,274,274,274,0,274,274,274,274,1,,Surface,1,,Image 1,,12,
AB,Intensity Max,288,288,288,0,288,288,288,288,1,,Surface,1,,Image 1,,13,
AB,Intensity Max,333,333,333,0,333,333,333,333,1,,Surface,1,,Image 1,,14,
AB,Intensity Max,340,340,340,0,340,340,340,340,1,,Surface,1,,Image 1,,15,
AB,Intensity Max,372,372,372,0,372,372,372,372,1,,Surface,1,,Image 1,,16,
AB,Intensity Max,379,379,379,0,379,379,379,379,1,,Surface,1,,Image 1,,17,
AB,Intensity Max,251,251,251,0,251,251,251,251,1,,Surface,1,,Image 1,,18,
AB,Intensity Max,266,266,266,0,266,266,266,266,1,,Surface,1,,Image 1,,19,
,,,,,,,,,,,,,,,,,,
P1,Intensity Max,219,219,219,0,219,219,219,219,1,,Surface,1,,Image 1,,9,
P1,Intensity Max,245,245,245,0,245,245,245,245,1,,Surface,1,,Image 1,,10,
P1,Intensity Max,302,302,302,0,302,302,302,302,1,,Surface,1,,Image 1,,11,
P1,Intensity Max,334,334,334,0,334,334,334,334,1,,Surface,1,,Image 1,,12,
P1,Intensity Max,301,301,301,0,301,301,301,301,1,,Surface,1,,Image 1,,13,
P1,Intensity Max,269,269,269,0,269,269,269,269,1,,Surface,1,,Image 1,,14,
P1,Intensity Max,280,280,280,0,280,280,280,280,1,,Surface,1,,Image 1,,15,
P1,Intensity Max,307,307,307,0,307,307,307,307,1,,Surface,1,,Image 1,,16,
P1,Intensity Max,344,344,344,0,344,344,344,344,1,,Surface,1,,Image 1,,17,
P1,Intensity Max,308,308,308,0,308,308,308,308,1,,Surface,1,,Image 1,,18,
P1,Intensity Max,278,278,278,0,278,278,278,278,1,,Surface,1,,Image 1,,19,
P1,Intensity Max,293,293,293,0,293,293,293,293,1,,Surface,1,,Image 1,,20,
P1,Intensity Max,260,260,260,0,260,260,260,260,1,,Surface,1,,Image 1,,21,
P1,Intensity Max,274,274,274,0,274,274,274,274,1,,Surface,1,,Image 1,,22,
,,,,,,,,,,,,,,,,,,
ABa,Intensity Max,256,256,256,0,256,256,256,256,1,,Surface,1,,Image 1,,24,
ABa,Intensity Max,300,300,300,0,300,300,300,300,1,,Surface,1,,Image 1,,25,
ABa,Intensity Max,274,274,274,0,274,274,274,274,1,,Surface,1,,Image 1,,26,
ABa,Intensity Max,330,330,330,0,330,330,330,330,1,,Surface,1,,Image 1,,27,
ABa,Intensity Max,711,711,711,0,711,711,711,711,1,,Surface,1,,Image 1,,28,
ABa,Intensity Max,615,615,615,0,615,615,615,615,1,,Surface,1,,Image 1,,29,
ABa,Intensity Max,1112,1112,1112,0,1112,1112,1112,1112,1,,Surface,1,,Image 1,,30,
ABa,Intensity Max,686,686,686,0,686,686,686,686,1,,Surface,1,,Image 1,,31,
ABa,Intensity Max,295,295,295,0,295,295,295,295,1,,Surface,1,,Image 1,,32,
ABa,Intensity Max,267,267,267,0,267,267,267,267,1,,Surface,1,,Image 1,,33,
ABa,Intensity Max,300,300,300,0,300,300,300,300,1,,Surface,1,,Image 1,,34,
ABa,Intensity Max,271,271,271,0,271,271,271,271,1,,Surface,1,,Image 1,,35,
,,,,,,,,,,,,,,,,,,
ABp,Intensity Max,251,251,251,0,251,251,251,251,1,,Surface,1,,Image 1,,25,
ABp,Intensity Max,269,269,269,0,269,269,269,269,1,,Surface,1,,Image 1,,26,
ABp,Intensity Max,267,267,267,0,267,267,267,267,1,,Surface,1,,Image 1,,27,
ABp,Intensity Max,293,293,293,0,293,293,293,293,1,,Surface,1,,Image 1,,28,
ABp,Intensity Max,405,405,405,0,405,405,405,405,1,,Surface,1,,Image 1,,29,
ABp,Intensity Max,658,658,658,0,658,658,658,658,1,,Surface,1,,Image 1,,30,
ABp,Intensity Max,484,484,484,0,484,484,484,484,1,,Surface,1,,Image 1,,31,
ABp,Intensity Max,239,239,239,0,239,239,239,239,1,,Surface,1,,Image 1,,32,
ABp,Intensity Max,280,280,280,0,280,280,280,280,1,,Surface,1,,Image 1,,33,
ABp,Intensity Max,254,254,254,0,254,254,254,254,1,,Surface,1,,Image 1,,34,
ABp,Intensity Max,267,267,267,0,267,267,267,267,1,,Surface,1,,Image 1,,35,
ABp,Intensity Max,241,241,241,0,241,241,241,241,1,,Surface,1,,Image 1,,36,
,,,,,,,,,,,,,,,,,,
EMS,Intensity Max,248,248,248,0,248,248,248,248,1,,Surface,1,,Image 1,,27,
EMS,Intensity Max,278,278,278,0,278,278,278,278,1,,Surface,1,,Image 1,,28,
EMS,Intensity Max,351,351,351,0,351,351,351,351,1,,Surface,1,,Image 1,,29,
EMS,Intensity Max,323,323,323,0,323,323,323,323,1,,Surface,1,,Image 1,,30,
EMS,Intensity Max,657,657,657,0,657,657,657,657,1,,Surface,1,,Image 1,,31,
EMS,Intensity Max,1135,1135,1135,0,1135,1135,1135,1135,1,,Surface,1,,Image 1,,32,
EMS,Intensity Max,1880,1880,1880,0,1880,1880,1880,1880,1,,Surface,1,,Image 1,,33,
EMS,Intensity Max,1805,1805,1805,0,1805,1805,1805,1805,1,,Surface,1,,Image 1,,34,
EMS,Intensity Max,1640,1640,1640,0,1640,1640,1640,1640,1,,Surface,1,,Image 1,,35,
EMS,Intensity Max,1054,1054,1054,0,1054,1054,1054,1054,1,,Surface,1,,Image 1,,36,
EMS,Intensity Max,784,784,784,0,784,784,784,784,1,,Surface,1,,Image 1,,37,
EMS,Intensity Max,256,256,256,0,256,256,256,256,1,,Surface,1,,Image 1,,38,
