Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time
Area,35.848,187.24,109.199,56.778,110.429,57.562,157.875,764.39,7,µm^2,Surface,,,,,,53
Area,38.887,185.6,111.345,54.359,111.579,63.188,158.5,779.417,7,µm^2,Surface,,,,,,54
Area,36.972,184.186,105.824,52.14,92.727,69.562,150.438,952.419,9,µm^2,Surface,,,,,,55
Area,46.211,187.132,104.671,50.107,88.795,69.844,129.312,837.365,8,µm^2,Surface,,,,,,56
Area,51.161,186.416,111.094,46.894,96.481,78.438,140.812,999.844,9,µm^2,Surface,,,,,,57
Area,60.388,186.253,113.342,44.692,101.168,79.812,138.312,1020.075,9,µm^2,Surface,,,,,,58
Area,63.496,185.937,114.402,43.156,105.45,80.219,134.031,1029.619,9,µm^2,Surface,,,,,,59
Area,64.074,181.567,111.947,35.764,108.16,91.219,138.094,1007.525,9,µm^2,Surface,,,,,,60
Area,62.909,180.88,110.077,35.294,108.715,88.484,119.625,880.612,8,µm^2,Surface,,,,,,61
Area,64.69,176.771,112.157,33.335,110.303,94.047,122.062,897.256,8,µm^2,Surface,,,,,,62
Area,64.704,178.054,114.069,32.691,112.433,98.812,122.281,912.55,8,µm^2,Surface,,,,,,63
Area,64.038,173.431,115.677,31.581,114.296,102.766,125.672,925.415,8,µm^2,Surface,,,,,,64
Area,61.394,149.621,111.298,24.825,115.511,106.656,123.375,890.387,8,µm^2,Surface,,,,,,65
Area,62.254,149.801,111.322,25.818,117.734,101.844,122.906,779.257,7,µm^2,Surface,,,,,,66
Area,88.612,153.083,120.004,19.01,119.477,114.391,124.875,720.024,6,µm^2,Surface,,,,,,67
Area,87.008,154.625,121.162,19.967,121.058,115.781,127.188,726.975,6,µm^2,Surface,,,,,,68
Area,88.593,159.061,122.994,20.966,122.433,115.828,129.453,737.962,6,µm^2,Surface,,,,,,69
Area,90.932,159.22,123.751,20.359,122.347,116.703,130.234,742.503,6,µm^2,Surface,,,,,,70
Area,87.652,158.897,121.948,21.32,120.276,114.453,129.109,731.686,6,µm^2,Surface,,,,,,71
Area,89.623,163.234,122.849,22.004,119.727,115.094,128.391,737.095,6,µm^2,Surface,,,,,,72
Area,87.284,157.341,121.874,20.78,121.071,115.469,128.438,731.242,6,µm^2,Surface,,,,,,73
Area,31.649,164.989,101.933,44.968,119.674,71.344,130.281,815.46,8,µm^2,Surface,,,,,,74
Area,37.27,165.782,103.7,43.793,119.362,70.562,132.969,829.602,8,µm^2,Surface,,,,,,75
Area,35.793,163.644,103.051,44.381,120.251,69.594,132.688,824.408,8,µm^2,Surface,,,,,,76
Area,31.414,166.197,88.993,49.269,97.444,35.594,128.375,889.926,10,µm^2,Surface,,,,,,77
Area,34.666,168.09,96.199,46.526,112.925,42.688,128.438,865.791,9,µm^2,Surface,,,,,,78
Area,28.375,166.655,90.95,47.326,95.623,44.344,130.156,909.498,10,µm^2,Surface,,,,,,79
Area,39.841,164.198,98.377,43.277,111.832,53.594,130.719,885.397,9,µm^2,Surface,,,,,,80
Area,31.993,161.943,92.027,45.259,95.759,46.594,130.281,920.273,10,µm^2,Surface,,,,,,81
Area,39.581,161.89,98.331,41.692,110.995,57.531,128.094,884.981,9,µm^2,Surface,,,,,,82
Area,33.812,160.745,92.421,42.823,93.878,52.094,128,924.213,10,µm^2,Surface,,,,,,83
Area,36.965,160.295,93.25,41.584,91.666,54.406,128.203,932.495,10,µm^2,Surface,,,,,,84
Area,38.606,159.944,94.248,41.526,92.753,54.156,128.625,942.476,10,µm^2,Surface,,,,,,85
Area,40.349,162.828,95.749,41.69,92.68,55.984,130.312,957.487,10,µm^2,Surface,,,,,,86
Area,38.691,161.609,93.587,40.424,70.374,60.844,129.406,1029.455,11,µm^2,Surface,,,,,,87
Area,42.659,161.613,96.99,40.727,88.248,61.188,131.812,969.902,10,µm^2,Surface,,,,,,88
Area,45.49,163.25,98.165,39.914,90.473,62.328,130.953,981.654,10,µm^2,Surface,,,,,,89
Area,48.014,161.969,97.541,39.248,90.833,61.5,129.031,975.409,10,µm^2,Surface,,,,,,90
Area,47.505,163.217,98.604,38.315,90.812,65.172,131.578,986.04,10,µm^2,Surface,,,,,,91
Area,50.288,162.21,97.614,37.564,90.638,63.906,127.875,976.138,10,µm^2,Surface,,,,,,92
Area,52.677,162.431,98.65,37.629,90.916,65.078,127.906,986.502,10,µm^2,Surface,,,,,,93
Area,49.654,160.819,98.107,38.137,91.429,64.203,131.375,981.071,10,µm^2,Surface,,,,,,94
Area,53.194,163.431,99.354,36.559,92.326,66.031,128.672,993.536,10,µm^2,Surface,,,,,,95
Area,52.724,163.844,99.515,36.692,91.831,67.312,130.328,995.154,10,µm^2,Surface,,,,,,96
Area,50.148,160.892,98.72,36.849,92.208,65.266,131.469,987.198,10,µm^2,Surface,,,,,,97
