
Overall
 ==================== 
Variable,Value,Unit,Class,Time,ID,
Number of labelled Surfaces per Class per Time Point,2.000,,Set 1::Class B,125,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,126,,
Number of labelled Surfaces per Class per Time Point,2.000,,Set 1::Class B,126,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,127,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,127,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,128,,
Number of labelled Surfaces per Class per Time Point,2.000,,Set 1::Class B,128,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,129,,
Number of labelled Surfaces per Class per Time Point,2.000,,Set 1::Class B,129,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,130,,
Number of labelled Surfaces per Class per Time Point,2.000,,Set 1::Class B,130,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,131,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,131,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,132,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,132,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,133,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,133,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,134,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,134,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,135,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,135,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,136,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,136,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,137,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,137,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,138,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,138,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,139,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,139,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,140,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,140,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,141,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,141,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,142,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,142,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,143,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,143,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,144,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,144,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,145,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,145,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,146,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,146,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,147,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,147,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,148,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,148,,
Number of labelled Surfaces per Class per Time Point,4.000,,Set 1::Class A,149,,
Number of labelled Surfaces per Class per Time Point,1.000,,Set 1::Class B,149,,
Total Number of Disconnected Components,571.000,,,,,
Total Number of Surfaces,571.000,,,,,
